,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
225,tt0751835,tvEpisode,Power to the People,Power to the People,0,1988.0,,31.0,[],8.2,147
226,tt1064814,short,SuperDONG,SuperDONG,0,2007.0,,4.0,[],7.0,5
227,tt0035832,short,Dumb-Hounded,Dumb-Hounded,0,1943.0,,7.0,"['Animation', 'Comedy', 'Family']",7.5,897
229,tt0858211,tvEpisode,Thy Name Is Woman,Thy Name Is Woman,0,2006.0,,44.0,"['Comedy', 'Crime', 'Drama']",8.3,21
230,tt0084342,movie,Big Shots,Mitahat La'af,0,1982.0,,95.0,[],6.8,135
231,tt8077400,tvEpisode,Gevatter Hein,Gevatter Hein,0,2018.0,,44.0,[],6.6,5
232,tt3758718,tvSeries,Decadence,Decadence,0,2006.0,2007.0,26.0,[],6.8,11
234,tt0761331,tvEpisode,Udder Revenge,Udder Revenge,0,2000.0,,45.0,"['Adventure', 'Game-Show', 'Reality-TV']",6.6,137
235,tt0128306,movie,La ligne de chaleur,La ligne de chaleur,0,1987.0,,90.0,[],5.6,13
236,tt2200252,video,Attack of the Clones Review,Attack of the Clones Review,0,2010.0,,86.0,[],9.3,1411
239,tt0694770,tvEpisode,Julianna Margulies/DMX,Julianna Margulies/DMX,0,2000.0,,90.0,"['Comedy', 'Music']",6.2,36
242,tt0030424,movie,La Marseillaise,La Marseillaise,0,1938.0,,135.0,"['Drama', 'History', 'Music']",7.1,977
244,tt2675216,short,Programme libre,Programme libre,0,2012.0,,25.0,"['Drama', 'Short']",7.8,6
245,tt1153081,movie,Gunilla,Gunilla,1,1971.0,,58.0,[],4.3,15
246,tt0431692,short,"Co dalej z toba, Karolinko?","Co dalej z toba, Karolinko?",0,2003.0,,42.0,"['Documentary', 'Short']",6.2,18
247,tt0148223,short,Goony Golfers,Goony Golfers,0,1948.0,,7.0,"['Animation', 'Short']",5.1,12
248,tt11003772,tvEpisode,A View from the Bus,A View from the Bus,0,2019.0,,43.0,[],7.8,136
250,tt0426764,tvSeries,Nous ne sommes pas des anges,Nous ne sommes pas des anges,0,2004.0,,60.0,[],6.0,6
